,neg,neu,pos,compound
visit to work jokowi follow me negrisemarang m citayam fashion week scbd work prabowo proof of lalisa mingyu httpstcouwxrxhgyj,0.0,1.0,0.0,0.0
"Bumiwali, may Allah bless the children of Citayam Fashion Week, move to SCBD, yes, let's welcome it with a massive da'wah",0.0,0.667,0.333,0.8176
"news of the fashion show event shifts the DKI Jakarta area, citayamfashionweek m rk dieng kimsejeong httpstcobakjyfvuza",0.0,1.0,0.0,0.0
"rt fundtastic id is happy using simple, really sorry btw I can feel the hype of Citayam fashion this week right away",0.066,0.782,0.152,0.4779
deputy chairman of commission vii dpr maman abdurrahman list of ethical brands wrong norms cfw citayamfashionweek scbd validnews httpstcoaxidkohnl,0.132,0.726,0.141,0.0516
crowded Citayam fashion week saves dropout hooks Kemendikbudristek data thousand children drop out of school myf around inewsrcti citayamfashionweek scbd httpstconifeyuqztc,0.095,0.905,0.0,-0.2732
citayam fashion week rk scbd stolen by rich httpstcokexdbzizt bailiffs citayam fashion week,0.18,0.618,0.202,0.1027
DKI Jakarta Provincial Government plans to move the location of Citayam Fashion Week CFW Hamlet for teenagers to get httpstcocmysvxrfb,0.0,1.0,0.0,0.0
"active Citayam fashion week dies, the community shows up in the style of teenagers, scbd sudirman, citayam bojonggede, depok, in the hamlet area of ​​​​central Jakarta, often crowds arise httpstcojdwwwuk",0.0,0.915,0.085,0.4019
Responsive scbd youth plans to move location for Citayam Fashion Week httpstcoiqknxbf via currentdotid,0.0,0.839,0.161,0.3612
cool roy scbd meeting with deputy chairman of dprd dki supports citayam fashion week celebritiesdotid infoceleb latest httpstcodgzedygn,0.0,0.769,0.231,0.5859
the voice of bonge teenager scbd citayam fashion week moved to hamlet httpstcomigfnobly,0.0,1.0,0.0,0.0
"excited on social media, motorcyclists suspect that they are upset across locations, Citayam fashion week, Citayamfashionweek, scbd, videoviral, click httpstcoskrdfigz",0.198,0.702,0.099,-0.34
scbd public space for profit next time talk about talkative areas Citayem fashion week yukk Citayamfashionweek fashion scbd,0.0,0.854,0.146,0.4404
"ok let's talk about scbd who know my Citanyem fashion week, not for the name I used yesterday's vote, the series anyway prestige who came scbd influence artist & tri",0.0,0.925,0.075,0.296
i know damn too well that my country still have a long way to go take care of scbd citayam fashion week fix internal structure a lot of pride httpstcojeeuedefx,0.081,0.689,0.231,0.6124
"boys and girls make up for Citayam fashion week, hamlet Jakarta, the command center of the city of Jakarta, the center for the follow-up to the complete myf phenomenon, httpstcolldupypfc around inewsrcti scbd httpstcodwixakif",0.0,1.0,0.0,0.0
Citayam fashion week feels that the lgbt trend has been blocked by rejecting scbd deviations,0.282,0.718,0.0,-0.6249
"ridwan kamil, advice from Baim, to register the rights of Citayam Fashion Week, so that I can be slebew httpstcoucvfrvyiad Citayamfashionweek Baimwong Jejeslebew rights",0.0,1.0,0.0,0.0
wirajhon ridwankamil baim i agree with ridwankamil citayam fashion week scbd please teach appropriate for the Indonesian generation,0.0,0.758,0.242,0.5859
"My teenager takes a shower and brushes his teeth, Mejeng Sudirman, joins Citayam Fashion Week httpstcotwgjfxmg",0.0,1.0,0.0,0.0
arizapatria citayam fashion week scbd phenomenon httpstcovjovmwhiv,0.0,1.0,0.0,0.0
musniumar citayam fashion week scbd phenomenon httpstcovjovmwhiv,0.0,1.0,0.0,0.0
scbd youth comments move location for Citayam fashion week ahmad riza patria deputy governor of dki jakarta proposed plan to move location for citayam fashion week httpstcoxdkkztvy news teenagerscbd scbd citayamfashionweek,0.0,1.0,0.0,0.0
Tempodotco's rt hesitated to be disgusted by Laura's love picking up trash from Sera Hamlet directly Citayam fa,0.229,0.602,0.169,-0.128
rt wirasanchez khalidkarim theres now new trend in jakarta called citayam fashion week teens especially from jakarta suburban and,0.0,1.0,0.0,0.0
khalidkarim theres now new trend in jakarta called citayam fashion week teens especially from jakarta suburban and around jakarta wear unique clothes and show it in scbd especially near bendung downstream mrt station httpstcoxssdtujm,0.0,1.0,0.0,0.0
City artist loses ex scbd fashionista sudiman citayam bojonggede depok peek at Citayam style fashion week httpstcoivydqnggh,0.126,0.874,0.0,-0.3182
carrying a branded mayangsari bag crossing scbd httpstcotypzhkux,0.0,1.0,0.0,0.0
"RT Telkomsel after the pros and cons of the phenomenon, try to check google maps, Citayam Fashion Week has appeared",0.0,1.0,0.0,0.0
bonge jeje flood endorsed viral citayam fashion week httpstcocvxifsfov citayam fashion week rk scbd stolen by rich install kumpar application read comfortably ads httpstcogidziqtm,0.101,0.633,0.266,0.6369
"Proud to be a citizen of DKI Citayam Fashion Week Scbd Lot, only artists who go there, let's designers participate in the promotion of Indonesian weaving creations using millennial style children",0.0,0.831,0.169,0.6908
rt tempodotco love laura scbd leads rombong collection of garbage at Citayam area fashion week httpstcohzrzsfwgxq tempoceleb,0.0,0.792,0.208,0.6369
rt zalva podcast talking about youth capital politics scbd the end of the term citayam fashion week viral among m,0.0,1.0,0.0,0.0
Citayam fashion week rk scbd stolen by rich httpstcoeewkffsff city artist lost former scbd fashionista sudiman citayam bojonggede depok peek at the style of Citayam fashion week,0.166,0.725,0.109,-0.2263
scbd youth responds to plans to move location Citayam fashion week httpstcoavuejiw,0.0,1.0,0.0,0.0
"friends, voters, the phenomenon of scbd citayam fashion week, young people, fashion expressions, now, but let's see, let's see, kpuklu kpu serves simultaneous elections httpstcoiqaqvga",0.0,0.921,0.079,0.2617
"rt girl residu b selling coffee around, know starling toriman, admits that the day is Rp. thousand",0.0,0.872,0.128,0.296
rt tausiyahku scbd paula ridwan kamil citayam fashion week httpstcohrwgrssl,0.0,1.0,0.0,0.0
action love laura citayam fashion week viral trending twitter fashion show tribunkaltimcintalaura scbd citayamfashionweek httpstcomfjdxokjqr tribunkaltim,0.0,0.781,0.219,0.6369
ridwankamil bonge jt then jeje et al didn't show up gera jeje mania scbd fighting arena forgot fashion week lost essence because of interference looking for money,0.156,0.782,0.062,-0.4404
garagara Baim Scbd Teenagers Holds Citayam Fashion Week protest httpstcolvsgreug,0.182,0.818,0.0,-0.4588
Jokowi is responsive & positively supports the phenomenon of Citayam Fashion Week Indonesia Great jokowidodo citayemfashionweek scbd bonge jeje ri kpworldtourd hobby kyungsoo talk that talk stayweek jihyo liverpool nieuws idn httpstcoqnuyfldirz,0.0,0.684,0.316,0.91
"madambacotz, God willing, anies will finish Citayam fashion week and or scbd sudirman bojonggede depok fashion soon",0.0,0.884,0.116,0.2732
"honey netizens, scbd children aka citayam fashion week is over",0.0,1.0,0.0,0.0
"Jokowi is responsive & positively supports the Citayam Fashion Week phenomenon, Indonesia is great, Jokowidodo Citayemfashionweek scbd bonge jeje ri kpworldtourd hobby kyungsoo talk that talk stayweek jihyo liverpool nieuws idn httpstcoclblvl",0.0,0.684,0.316,0.91
"again, the red party cadre is slippery, kpk drama Harun mas, Joko Widodo, Irene, Jogja, cold, love, Laura, Maling, Mardani, Maming, lgbt, blanket, wake up, liverpool, sleep, Citayam, fashion week, scbd, baim, rights, persevere, kpk, justice,tebang Select httpstcoxikhdjdnx",0.0,0.839,0.161,0.7845
"I still don't understand why Citayam Fashion Week has a Citayam scbd that fell into the waste business area of ​​Gelimang, it's not that good.",0.199,0.801,0.0,-0.6377
"The layman, when he heard about Citayam Fashion Week, immediately said that it was cool, Citayam was already on fashion street, when he saw the SCBD event, he was immediately sluggish, plus he was confused about the Citayam event being held in Jakarta. I'm not proud of the location.",0.138,0.82,0.042,-0.6433
"Jokowi is responsive & positively supports the Citayam Fashion Week phenomenon, Indonesia is great, Jokowidodo Citayemfashionweek scbd, bonge jeje ri, kpworldtourd, hobby kyungsoo talk that talk stayweek, jihyo liverpool, nieuws idn httpstcofpzmzaqd",0.0,0.684,0.316,0.91
ridwankamil agreed if kl dlegalkandhakiin cfw yes d citayam scbd sarinah etc paris fashion week mn outside of paris city or jakarta kl cfw pny baimwong why did you patent it bro better help people who transit in indo find asylum because the law in indo is not yet available,0.0,0.812,0.188,0.8555
those in authority understand scbd scbdkw fashionweek httpstcogvitmwm,0.0,0.843,0.157,0.0772
Jokowi is responsive & positively supports the phenomenon of Citayam Fashion Week Indonesia Great jokowidodo Citayemfashionweek scbd bonge jeje ri kpworldtourd hobby kyungsoo talk that talk stayweek jihyo liverpool nieuws idn httpstcoraokkvfll,0.0,0.684,0.316,0.91
"rt dhea merlinda please citayam fashion week in an orderly manner, vice governor, riza patria, moves to the old city monas",0.0,0.897,0.103,0.3182
scbd yuanter cumberbatch fashion week,0.0,1.0,0.0,0.0
"Anies didn't comment on that, Citayem Fashion Week has the effect of choosing, for example, the neighbors have joined, has it subsided or not, wkwwk Aniesbaswedan Citayamfashionweek scbd baimwong",0.0,1.0,0.0,0.0
"Jokowi is responsive & positively supports the Citayam Fashion Week phenomenon in Indonesia, great jokowidodo citayemfashionweek scbd bonge jeje ri kpworldtourd hobby kyungsoo talk that talk stayweek jihyo liverpool nieuws idn httpstcoxrkigvfp",0.0,0.684,0.316,0.91
yesterday's insuffere scbd fashion week,0.0,1.0,0.0,0.0
"rt graduasia has become a trend phenomenon in scbd, yes, Citayam fashion week has made an existence",0.0,0.847,0.153,0.4019
coowookk citayam fashion week want scbd,0.0,0.794,0.206,0.0772
youth scbd demo citayam fashion week commercialization httpstcodveomwcetr,0.0,1.0,0.0,0.0
recommended bed lamp aesthetic built in speaker link httpstcoigdjpydvt ldii stop lgbt jokowi anies baswedan adzan slebew jeje scbd citayam fashion week getwellsoonmark lisa sona httpstcopbtywhoe,0.079,0.857,0.064,-0.1027
yozariam try to play the patent Citayem fashion week example of prof Agasa who has a cool gadget capable of giving it free friends have fun citayemfashionweek detectiveconan viral createdbythepoorstolenbytherich scbd citayem wakanda,0.0,0.563,0.437,0.9545
"try the one who plays the Citayem Fashion Week patent, an example of Prof Agasa who has a cool gadget capable of giving it free, friends have fun Citayemfashionweek detectiveconan viral createdbythepoorstolenbytherich scbd citayem wakanda",0.0,0.587,0.413,0.9517
martinus leo arungbudoyo wikki tokcer hunter wadon scbd citayam fashion week finallyvalen twin demon exorcists,0.0,1.0,0.0,0.0
"selling coffee around, knowing starling toriman, admits that the day of rp thousand is crowded with Citayam fashion week httpstcowezwbhrww",0.0,0.896,0.104,0.296
rt indosiar news httpstcowddayjgqqe scbd fashion week phenomenon crowded unjung citayam bojong,0.0,1.0,0.0,0.0
"rt wadidawbigwin citayam fashion week hak baim, monday catwalk phenomenon, yr aja era",0.0,0.805,0.195,0.4404
teenagers often hang out in the hamlet to hear about Baim's plan to hold Citayam Fashion Week httpstconojmqiopb,0.0,1.0,0.0,0.0
rt sugarda agnezmo in citayam fashion week agnezmo citayamfashionweek scbd httpstcoxjuvthoqf,0.0,1.0,0.0,0.0
can teenagers hang out scbd baim list of brands Citayam fashion week httpstcooqqcxmgse,0.0,1.0,0.0,0.0
love laura scbd leads the collection of garbage in the Citayam area fashion week httpstcohzrzsfwgxq tempoceleb,0.0,0.781,0.219,0.6369
"jundans, the icon is Citayem Fashion Week, right for young women aged 1 year old who know random interviews using TikTok and know them because they are beautiful, funny, cool, wild, wild in the scbd area",0.0,0.779,0.221,0.8442
askrlfess review risk management context profit sell creator fashion fashion week dr baim business venture tiger entartaiment business open access big network scbd ged all-round protection law,0.07,0.833,0.097,0.2023
"Please, Citayam Fashion Week, be orderly, the Deputy Governor of Arizapatria, move to Monas, Kota Tua, etc. that don't disturb the use of the road, too many boys become Kemayu Scbd. This is the fear of juvenile delinquent behavior httpstcotkjkrsq",0.071,0.827,0.102,0.092
"scbd doesn't want to see the Citayam Fashion Week, go for a snack",0.1,0.9,0.0,-0.0572
"taehyuniw slibaw is really cool, it's perfect for joining scbd fashion week",0.0,0.604,0.396,0.762
rt yahoo id tunjung fashion week ala teenager scbd disbanded as mayor of surabaya httpstcoolncjtaao httpstcoomxwgh,0.0,1.0,0.0,0.0
tunjung fashion week ala teenager scbd disbanded as mayor of surabaya httpstcoolncjtaao httpstcoomxwghnb,0.0,1.0,0.0,0.0
"askrlfess natural instincts, let the nature of fashion week scbd be fair",0.0,0.676,0.324,0.5859
"positive, I take the Citayam Fashion Week and have fun with the public figures, children's models, scbd, people, highlights for Jakarta, a place to pour creativity",0.0,0.689,0.311,0.8591
citayam fashion week young people must rise up httpstcolwlxgigm young people citayam fashion week scbd httpstcoamadtfrfr,0.0,1.0,0.0,0.0
the story is citayam fashion week suderman citayemfashionweek scbd storiesvalen httpstcoerutkvfz,0.0,1.0,0.0,0.0
rt asterisk secret airlines fashion week at scbd seoul changwon bus daegu ecretnumber golbaengikpop whatsyourk mygirls,0.0,1.0,0.0,0.0
"voidotid even though it's not good, it's good, samsek but why is scbd doing achievements that support people, there are a lot of negatives rather than positives with Citayam fashion week, what's the name of the millennial generation, so lazy to teach friends to hang out",0.132,0.66,0.208,0.7602
rt Awalmnda detikcom still register the right name for Citayam Fashion Week s,0.0,1.0,0.0,0.0
"ilmiausaa stwannnn dewey soeci siumed efrilphn ridwankamil help scbd senayan if the Depok boys play there, many say that Senayan Citayam depok is based on the nickname Citayam Fashion Week, because it's like an arena for Citayam children to compete with trends",0.0,0.837,0.163,0.765
geloraco dear kang ridwankamil try to show me and teach me the value of philosophy education & the meaning of Citayam fashion week scbd july sorry the late eril hasn't been in june the grave is very fashion,0.093,0.788,0.119,0.2732
"Baim's efforts to power the Citayam Fashion Week brand, scbd residents protest httpstcoakewaoyq",0.143,0.857,0.0,-0.25
golbaengikpop ecretnumber jinny scbd fashion week,0.0,1.0,0.0,0.0
"imitating fashion week ala scbd teenager Bireuen, various netizen comments arise httpstcoekpzublg",0.0,1.0,0.0,0.0
scbd business district located in south jakarta office building shopping center hotel httpstcoatxecnfpe,0.0,1.0,0.0,0.0
"Citayam fever fashion week, expert level scbd abg complete, fast, lifestyle news, lifestyle travel, travel httpstcozvqzndgaec",0.0,1.0,0.0,0.0
"I hope it won't be Bogor Fashion Week with crowds, like the CFW, SCBD, the wife's healing route, this weekend, around Bogor, with a CL Depokbogor ticket, pp.",0.0,0.816,0.184,0.6597
"scbd fashion week is booming, it's okay, don't worry if you follow the trend if you look at the style of the youth of Subulussalam, I'm sorry, the outfit is pretty cool, oppa unnie subulussalam, have snacks with children",0.029,0.754,0.217,0.8179
"after the pros and cons of the phenomenon, try checking google maps for citayam fashion week, the iconic spot in the scbd area has been phenomenal, saying short scbd sudirman citayam bojong gede depok httpstcoqvixbiihwt",0.0,1.0,0.0,0.0
meinbokeol sis forgot scbd citayam fashion week,0.0,1.0,0.0,0.0
"Enter dinfi xatria antarixa xdy rarara scbd fashion week, just the tw people who created the help have gone viral",0.0,0.793,0.207,0.5719
"medicine for wounds, forms of criticism, elite children, scbd children, state schools, pay attention to the passion of Citayem, fashion week, sensitive to social problems, fix it",0.212,0.697,0.091,-0.4588
"capitalist robbery forums take advantage of the marginalized, what power, with the rights of the citayem fashion week, funny aju among the children of scbd",0.0,0.824,0.176,0.5994
"the flower cfw container is good, but what if you reach the driving facilities, food is available, if it's called ffwfood fashion week, baim paula scbd cfw",0.0,0.89,0.11,0.2732
AFP,0.0,1.0,0.0,0.0
secret airlines fashion week at scbd seoul changwon bus daegu ecretnumber golbaengikpop whatsyourk mygirls secret number httpstcofhqkenff,0.0,0.925,0.075,0.0772
"Yes, fashion week is rampant, everywhere in Indonesia, cities are building trends that are scbd, stylish fashion, maybe fashion week, so positive negative trend",0.123,0.65,0.227,0.5168
"banyusadewa, just let me register for cfw rights, if duid has the right to change your name, sudirman fashion week scbd fashion week citayem fashion street",0.0,1.0,0.0,0.0
the phenomenon of citayam fashion week youth scbd jakarta explores surabaya street tunjung teen fashionista event emakemak nnn citayamfashiohnweek dukuhatas jakarta scbd cfw destinationfashionweek surabaya east java httpstcorddrjumg,0.0,1.0,0.0,0.0
garagara Baim Scbd Teenagers Hold Citayam Fashion Week protest httpstcoaezxieaxm,0.182,0.818,0.0,-0.25
plan to make cafe sleman fashion week where scbd sleman city business district times friends love fashion appointments,0.0,0.687,0.313,0.8074
rp httpstcoghhbudep ridwan kamil slebew baim paula hak citayam fashion week scbd mark lee covid brand httpstcojtyzmfmnla,0.0,0.847,0.153,0.4404
"faridmohmdmf ernestprakasa ko ernest scbd citayam fashion week, let the founders take care of it so young people understand how to build their business, give teaching experts who meet the claims of greedy people",0.061,0.853,0.085,0.2263
"can't bring Indonesia if you have registered your rights automatically the money will flow from the business of the scbd child, it's just too big, the Citayem fashion week dies young because the viral one doesn't go viral httpstcopetpoqguv",0.0,1.0,0.0,0.0
"happy to use simple, really sorry btw feel the hype right away for Citayam Fashion Week, can't you share guys, Citayamfashionweek scbd rights httpstcopgxgxoj",0.124,0.745,0.131,0.3002
"it's crowded, scbd citayem fashion week hm",0.0,1.0,0.0,0.0
Where's the scbd fashion week outfit v,0.0,1.0,0.0,0.0
protest the list of rights for the citayam fashion week baim scbd residents are cool to listen to the citayam rights of baimwong scbd citayamfashionweek complete httpstcoczlqolod via youtube,0.064,0.863,0.073,0.0772
the name citayam fashion week list of legislators created by young people scbd does not claim to use sound brand httpstcokykzomjnc opsiin httpstconqzpwneofr,0.0,0.917,0.083,0.25
"the scbd trend phenomenon, it's really good for Citayam fashion week to make the existence of young Indonesians, let's get to know a thread httpstcotppkyqqio",0.0,0.878,0.122,0.4927
Caratstalk sudirman schedule nder scbd fashion week everyone,0.0,1.0,0.0,0.0
rt cnnindonesia garagara baim scbd teenagers hold Citayam fashion week protest httpstcokipghbmp,0.154,0.846,0.0,-0.25
"Citayem fashion week has disbanded, but I saw that the people around scbd were disturbing",0.255,0.745,0.0,-0.6652
rt elmeira utami let's support da'wah field scbd citayem fashion week disgusted open,0.199,0.643,0.158,-0.1779
scbd caratstalk sis shua joins Citayem fashion week,0.0,1.0,0.0,0.0
scbd knows the play on sudirman citayam bojongede depok citayam fashion week viral with the model artist httpstcoxrtwvpmo,0.0,0.876,0.124,0.34
citayam fashion week the potential of asai among scbd brothers get out of the way httpstcomjbtrdii,0.0,1.0,0.0,0.0
"the phenomenon of citayam fashion week trending topic, social media, the wrong name, the popular performance in the scbd area, the figure of a young person, the name jeje jejeslebew, citayemfashionweek httpstcomnotrush",0.089,0.831,0.08,-0.0772
garagara Baim Scbd Teenagers Hold Citayam Fashion Week protest httpstcokipghbmp,0.182,0.818,0.0,-0.25
"RT aswinzulaeha jokowi is responsive & positively supports the Citayam Fashion Week phenomenon in Indonesia, great jokowidodo",0.0,0.49,0.51,0.91
"rt edwinfitriani jokowi is responsive & positively supports the Citayam Fashion Week phenomenon in Indonesia, great jokowidodo",0.0,0.49,0.51,0.91
"rt fandy fathan jokowi is responsive & positively supports the Citayam Fashion Week phenomenon in Indonesia, the great jokowidodo",0.0,0.528,0.472,0.91
"rt fauzitanuwijaya jokowi is responsive & positively supports the Citayam Fashion Week phenomenon in Indonesia, great jokowidod",0.0,0.49,0.51,0.91
yall can say scbd instead of citayem fashion week it's really uncomfortable to be honest,0.151,0.677,0.172,0.1045
shinjuku hi cute otw scbd if fashion week,0.0,0.7,0.3,0.4588
ridwan kamil baim revokes the rights of citayam fashion week list ridwankamil citayamfashionweek baimwong scbd bonge httpstcojfihjgigr,0.0,1.0,0.0,0.0
scbd citayam fashion week is busy discussing the wrong list of intellectual property rights of pt tiger entertainment indigo aditya nugroho participating in scbd httpstcoejewzzoon,0.099,0.705,0.196,0.4588
"Citayam fashion week because Citayam's children hang out with scbd, Sudirman's children don't hang out, just make Sudirman fashion week",0.0,1.0,0.0,0.0
excited Citayam fashion week mami angel is good at scbd claims to endorse Rp million today httpstcondnyyevys,0.0,0.648,0.352,0.765
rt jaeheedays oh yeah weeekly have to scbd so that fashion week there wkwkkk bring a skateboard wearing a plaid shirt jamet zoa ht,0.0,0.905,0.095,0.296
"people who benefit from the citayam fashion week phenomenon, stalls looking for money, redputihcom, scbd, citayamfashionweek, cuan people, httpstconrgxrx",0.0,0.857,0.143,0.4588
let's support da'wah field scbd citayem fashion week disgusted open space for the soft-spoken plus teenagers who don't idol httpstcoyjnjcgs,0.141,0.747,0.112,-0.1779
cool talkative joins Laura's love catwalk invites scbd teens to pick up Citayam fashion week trash httpstcozeuqozx,0.0,0.698,0.302,0.7579
scbd fashion week singosari cinde bonharjo depok httpstcorpzwzkqaiy hendrarprihadi please disturb using the traffic jam httpstcocfesacuj,0.142,0.737,0.121,-0.1027
leaving in traffic jams driving home in traffic jams crowds of beautiful Citayam fashion week tired of working scbd,0.122,0.714,0.164,0.25
"sindonews channel achievements, hopefully alumni of fashion week citayem scbd professional pragawatiwan will produce personnel who regenerate gyro, you know httpstcoaeytbiaj",0.0,0.881,0.119,0.4019
"sentil baim fill in ridwan kamil's message list of rights for citayam fashion week national newspaper, baimwong ridwankamil scbd citayamfashionweek rights jeje bonge indonesia news update viral httpstcofoujeaoe",0.0,1.0,0.0,0.0
Citayam fashion week scbd fashion week yogyakarta tawur week cafe jogja,0.0,1.0,0.0,0.0
"friends, Citayam fashion week, aka scbd boy, because hanging out, it's crowded, next week, hanging out in the hamlet, cooling down, euphoria, the trend is dim, moving on",0.0,0.778,0.222,0.8126
"active Citayam fashion week the value of disruption to traffic order in Jakarta, Ahmad Riza Patria, suggests choosing an alternative location, changing the location of Hamlet Merahputihcom, SCBD Dukuhatas Jakarta Citayam httpstconukoavikk",0.068,0.792,0.139,0.3818
governor ridwan kamil street catwalk citayam fashion week said scbd citayam style ala bonge cs highway citayam sidewalk facilities httpstcoenucoxybbb,0.0,1.0,0.0,0.0
nuicemedia don't let suburban teenagers try to gather scbd enemies of brand Citayam fashion week commercialization fear of losing out,0.346,0.654,0.0,-0.8402
rt lyndaibrahim my year the price of paula verhoeven as a top model pdki compete quickly register as a fashion insider should,0.0,0.913,0.087,0.2023
nuicemedia arranges to ban teenagers from hanging out scbd looking for fashion week hehehe the organic community suddenly riots and intervenes,0.266,0.734,0.0,-0.7845
governor ridwan kamil street catwalk citayam fashion week says scbd citayam style ala bonge cs highway citayam sidewalk facilities,0.0,1.0,0.0,0.0
"buddy, it's just busy, the Citayam Fashion Week phenomenon, let's see the very social opinion of Eko Suprianto Bonge Citayamfashionweek, the Jeje Dates Roy phenomenon, SCBD httpstcoeltqlloj",0.0,1.0,0.0,0.0
"Citayam fashion week registering is not fun, how are you friends httpstcoqrthhqvz citayamfashionweek m scbd you have a patent",0.13,0.721,0.149,0.1022
"Madam, Citayam Fashion Week is really good, isn't there an express free tool, benefits of public facilities, Mom's opinion, comments, come on, Citayamfashionweek scbd, viral news, trendingtopics, fashion catwalk, jeje, httpstcosuhdpz",0.0,0.755,0.245,0.8439
citayam fashion week cfw street fashion youth celebrity influencer sudirman area central business district scbd central jakarta httpstcorithfmbs,0.0,1.0,0.0,0.0
"Citayam fashion week is proud, in I, Citayam fashion week appears, the seeds of lgbt appear, examples of men wearing women, it's commonplace, scbd, citayamfashionweek lgbt",0.0,0.89,0.11,0.4767
teenage sociologist scbd potential to get rid of citayam fashion week citayemfashionweek scbd videokompas clear hope httpstcoxfngjolec,0.0,0.732,0.268,0.6705
Paula Verhoeven Baim plans a hundred million rupiah prize money to be active in Citayam Fashion Week httpstcohlpjrdnt,0.0,0.714,0.286,0.7184
"rt darmowinx at the end of scbd fashion week, it's fun to be a little kid that benefits people who pretend to be enemies",0.157,0.65,0.193,0.2585
SCBD Paula Ridwan Kamil Citayam Fashion Week httpstcohrwgrssl,0.0,1.0,0.0,0.0
"trigger traffic jams in the scbd area, the police suggest the Citayam fashion week activity, there is a hbkb httpstcovztpdhded",0.0,1.0,0.0,0.0
the benefits of the momentum of barbarian porridge scbd citayam fashion week promotional event httpstcobackmmkjhn,0.0,0.843,0.157,0.3818
"people talk about the phenomenon of scbd citayam fashion week, you know what fashion week usersstory means httpstcoaodkxzi",0.0,1.0,0.0,0.0
"the proposal of the Citayam Fashion Week phenomenon, the viral trend of scbd youth, reaps the attention of political artists httpstcobbcjpawo",0.0,1.0,0.0,0.0
"Assuming, I remember appearing, not Citayam Fashion Week, Scbd, Sudirmancitayembogor, Depok",0.0,1.0,0.0,0.0
ridwan kamil Baim revokes the rights of Citayam Fashion Week so that it will be slebew haute couture httpstcovwzvxni scbd baimwong ridwankamil slebew citayamfashionweek prmn people's mindsmedianetwork collaborationmediapreneurnusantara mindsofthe people,0.0,1.0,0.0,0.0
list of brands Citayam fashion week cfw intellectual rich database pdki handsome actor Baim attacks netizens criticism Baimwong viral Citayamfashionweek scbd httpstcolrgaompt httpstcoxgyij,0.171,0.531,0.298,0.6486
rt makkeuuuu dress recommendation event a thread jakarta international stadium sctv scbd baim paula reply stolen,0.186,0.814,0.0,-0.4939
httpstcouzhxkpgz,0.0,1.0,0.0,0.0
"I don't have enough money until the initiative of the child who is holding scbd fashion week, just take it and make tiger fashion week cake cake gt httpstcooxhpforw",0.0,0.928,0.072,0.2732
scbd ala aceh bereeeeeh aceh people need entertainment httpstcoarzpvhzn,0.0,0.741,0.259,0.4215
copying Citayam fashion week video scbd owned by suzuya mall bireuen reaps criticism httpstcowqqfgruo httpstcolspuenla,0.172,0.828,0.0,-0.4404
"the phenomenon of Citayam Fashion Week CFW lately, the center of attention of the wider community, teenagers in the suburbs of Jakarta, gather in the Dukuh area of ​​Central Jakarta, wearing the current version of fashion, httpstcoxztovozqdp",0.0,1.0,0.0,0.0
"trend citayam fashion week, attention to regional orders, influential people in the field of fashion, content creators, etc., directions for guiding scbd children, directions for work in hobbies",0.0,0.903,0.097,0.4404
"detikcom, if you register the right to name the Citayam Fashion Week sponsor, in the end, you're the only one who gets the profit from public scbd so that the express is free",0.0,0.833,0.167,0.7351
"Riza mentions the location of scbd youth, Sudirman Citayam, Bojonggede, Depok, holds CFW, National Monument, Monas, Banteng Field Park httpstconqyrnr",0.0,1.0,0.0,0.0
"Until the second I didn't understand the concept of Citayem Fashion Week, what do you do with scbd when scbd is full of jeje and friends, the news is that people who come home from work aren't stuck and don't feel like there's a crowd of abege kids who are busy, it's useless.",0.087,0.828,0.085,-0.0181
"Is it important for personal politics to fall apart? Citayam fashion week needs a price, just support it, Citayamfashionweek scbd is free of creation",0.0,0.657,0.343,0.836
men kemayu citayam fashion week netizen debate on express rides nest lgbt citayamfashionweek citayam citayem lgbt sudirman scbd httpstcoufzmanoh,0.0,1.0,0.0,0.0
the history of the creation of citayam fashion week nicknamed the location of the citayamfashionweek citayam scbd sudirman httpstcorwuxusbph,0.0,0.896,0.104,0.2732
jeje slebew loves roy citayam citayam fashion week scbd ring httpstcopwflziucr citayamfashionweek citayamfashionweek scbd roycitayam jeje bonge attitude lgbt eggplant fitrul justicetebangselect blackpinkxpubgm bigmouth jakmania rights,0.0,0.871,0.129,0.5719
viral bonge showing off toyota vellfire price specifications for citayam fashion week scbd httpstcosmictzqypc bonge jeje jejeslebew roycitayam citayamfashionweek citayemfashionweek scbd lgbt apem eggplant attitude police pi teach rights jakmania bigmouth stadium fitrul,0.0,1.0,0.0,0.0
the phenomenon of citayam fashion week youth scbd blok m cash mejeng location phenomenon young people watch old indonesian films blok m httpstcousbsheaj httpstcoqxefsbskf,0.0,1.0,0.0,0.0
the single release box with the title local pride times the theme of social phenomena is busy talking about Citayam fashion week mediadigitalcpp indotvlive new single box localpride citayamfashionweek citayam citayamcity scbd httpstcoamkolxaar,0.0,0.93,0.07,0.34
"the Citayam Fashion Week phenomenon, appreciation of youth creativity, releases criticism of the misuse of zebra cross, the value of disturbing pedestrian traffic",0.191,0.554,0.255,0.2732
Bireun is really fashion week like scbd,0.0,0.685,0.315,0.4144
"jeje slebew, artist Citayam fashion week scbd, sorry for the indecent video viral twitter httpstcoqqlwri",0.085,0.915,0.0,-0.0772
the benefits of the momentum of barbarian porridge scbd citayam fashion week promotional event httpstcoodsrmudlnx,0.0,0.843,0.157,0.3818
